Civilité;Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable;Télétravail;PC STANDARD
M.;Alban;Dumas;BillU;Paris;Communication et Relations publiques;Relation Médias;Rédacteur;Aurelien;Brunet;PA78671;HP;02/12/1987;197796902;615034263;Non;CRP-PC-HP-PA78671
M.;Aurelien;Brunet;BillU;Paris;Communication et Relations publiques;-;Responsable relation média;Noémie;Leloir;PA68867;DELL;12/03/1985;114409115;778858220;Non;CRP-PC-DELL-PA68867
M.;Corentin;Arnaud;BillU;Paris;Communication et Relations publiques;Communication interne;Community manager;Gaelle;Colin;PA11094;DELL;01/01/1991;148522008;710630503;Non;CRP-PC-DELL-PA11094
M.;Diego;Aubert;BillU;Paris;Communication et Relations publiques;Communication interne;Community manager;Gaelle;Colin;PA19149;DELL;14/05/1989;198004015;736672209;Non;CRP-PC-DELL-PA19149
M.;Erwan;Faure;BillU;Paris;Communication et Relations publiques;Communication interne;Chargé de communication;Gaelle;Colin;PA10218;;17/06/1993;127364911;707561174;Non;CRP-PC---PA10218
Mme;Felianne;Fernandez;BillU;Paris;Communication et Relations publiques;Relation Médias;Rédacteur;Aurelien;Brunet;PA92969;DELL;17/11/1992;122223912;655605121;Non;CRP-PC-DELL-PA92969
Mme;Gaelle;Colin;BillU;Paris;Communication et Relations publiques;-;Responsable communication;Noémie;Leloir;PA23669;DELL;23/06/1999;146389837;625101497;Non;CRP-PC-DELL-PA23669
M.;Gaetan;Roussel;BillU;Paris;Communication et Relations publiques;Gestion des marques;Webmaster;Gaelle;Colin;PA74884;DELL;27/10/1994;181708327;622836246;Non;CRP-PC-DELL-PA74884
Mme;Ines;Henry;BillU;Paris;Communication et Relations publiques;Gestion des marques;Webmaster;Gaelle;Colin;PA39469;DELL;05/01/2000;138585445;685150170;Non;CRP-PC-DELL-PA39469
Mme;Laurence;Guerin;BillU;Paris;Communication et Relations publiques;Gestion des marques;Designer graphique;Gaelle;Colin;PA63117;DELL;20/07/1990;114806301;642681764;Non;CRP-PC-DELL-PA63117
M.;Loic;Blanc;BillU;Paris;Communication et Relations publiques;Communication interne;Chargé en droit de la communication;Gaelle;Colin;PA88356;DELL;03/11/1982;160352162;747070420;Non;CRP-PC-DELL-PA88356
M.;Lukas;Rousseau;BillU;Paris;Communication et Relations publiques;Gestion des marques;photographe;Gaelle;Colin;PA74987;DELL;19/04/1993;199526389;742450021;Non;CRP-PC-DELL-PA74987
M.;Mathias;Muller;BillU;Paris;Communication et Relations publiques;Gestion des marques;Community manager;Gaelle;Colin;PA63498;DELL;08/12/2000;112691924;695993512;Non;CRP-PC-DELL-PA63498
Mme;Noémie;Leloir;BillU;Paris;Communication et Relations publiques;-;Directrice Communication et Relations publiques;Camille;Martin;PA68385;DELL;14/11/1994;165300831;628752957;Non;CRP-PC-DELL-PA68385
Mme;Régina;Illaconnesé;BillU;Paris;Communication et Relations publiques;Relation Médias;Chargée relation presse;Aurelien;Brunet;PA99009;DELL;16/11/1994;155106945;643567057;Non;CRP-PC-DELL-PA99009
Mme;Sophia;Kusmérowic;BillU;Paris;Communication et Relations publiques;Relation Médias;Chargée relation presse;Aurelien;Brunet;PA76764;DELL;10/08/1988;134259365;732836175;Non;CRP-PC-DELL-PA76764
Mme;Faustine;Denis;BillU;Paris;Département Juridique;Propriété intellectuelle;Juriste;Fauve;Hôlth;PA51856;HP;15/03/1983;102226399;-;Non;DJU-PC-HP-PA51856
