Civilité;Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable;Télétravail
M.;Alban;Dumas;BillU;Paris;Communication et Relations publiques;Relation Médias;Rédacteur;Aurelien;Brunet;PA78671;HP;02/12/1987;197796902;615034263;Non
M.;Aurelien;Brunet;BillU;Paris;Communication et Relations publiques;-;Responsable relation média;Noémie;Leloir;PA68867;DELL;12/03/1985;114409115;778858220;Non
M.;Corentin;Arnaud;BillU;Paris;Communication et Relations publiques;Communication interne;Community manager;Gaelle;Colin;PA11094;DELL;01/01/1991;148522008;710630503;Non
M.;Damien;Calouhouet;I-magyne;Paris;Communication et Relations publiques;Relation Médias;Monteur;Aurelien;Brunet;-;-;-;-;612558490;-
M.;Diego;Aubert;BillU;Paris;Communication et Relations publiques;Communication interne;Community manager;Gaelle;Colin;PA19149;DELL;14/05/1989;198004015;736672209;Non
M.;Erwan;Faure;BillU;Paris;Communication et Relations publiques;Communication interne;Chargé de communication;Gaelle;Colin;PA10218;;17/06/1993;127364911;707561174;Non
Mme;Felianne;Fernandez;BillU;Paris;Communication et Relations publiques;Relation Médias;Rédacteur;Aurelien;Brunet;PA92969;DELL;17/11/1992;122223912;655605121;Non
M.;Felix;Jean;Studio Dlight;Nantes;Communication et Relations publiques;Relation Médias;Monteur;Aurelien;Brunet;-;-;-;-;684213048;-
Mme;Gaelle;Colin;BillU;Paris;Communication et Relations publiques;-;Responsable communication;Noémie;Leloir;PA23669;DELL;23/06/1999;146389837;625101497;Non
M.;Gaetan;Roussel;BillU;Paris;Communication et Relations publiques;Gestion des marques;Webmaster;Gaelle;Colin;PA74884;DELL;27/10/1994;181708327;622836246;Non
Mme;Ines;Henry;BillU;Paris;Communication et Relations publiques;Gestion des marques;Webmaster;Gaelle;Colin;PA39469;DELL;05/01/2000;138585445;685150170;Non
Mme;Laurence;Guerin;BillU;Paris;Communication et Relations publiques;Gestion des marques;Designer graphique;Gaelle;Colin;PA63117;DELL;20/07/1990;114806301;642681764;Non
M.;Loic;Blanc;BillU;Paris;Communication et Relations publiques;Communication interne;Chargé en droit de la communication;Gaelle;Colin;PA88356;DELL;03/11/1982;160352162;747070420;Non
M.;Lukas;Rousseau;BillU;Paris;Communication et Relations publiques;Gestion des marques;photographe;Gaelle;Colin;PA74987;DELL;19/04/1993;199526389;742450021;Non
M.;Mathias;Muller;BillU;Paris;Communication et Relations publiques;Gestion des marques;Community manager;Gaelle;Colin;PA63498;DELL;08/12/2000;112691924;695993512;Non
Mme;Noémie;Leloir;BillU;Paris;Communication et Relations publiques;-;Directrice Communication et Relations publiques;Camille;Martin;PA68385;DELL;14/11/1994;165300831;628752957;Non
Mme;Régina;Illaconnesé;BillU;Paris;Communication et Relations publiques;Relation Médias;Chargée relation presse;Aurelien;Brunet;PA99009;DELL;16/11/1994;155106945;643567057;Non
Mme;Sophia;Kusmérowic;BillU;Paris;Communication et Relations publiques;Relation Médias;Chargée relation presse;Aurelien;Brunet;PA76764;DELL;10/08/1988;134259365;732836175;Non
Mme;Faustine;Denis;BillU;Paris;Departement Juridique;Propriété intellectuelle;Juriste;Fauve;Hôlth;PA51856;HP;15/03/1983;102226399;-;Non
Mme;Fauve;Hôlth;BillU;Paris;Departement Juridique;-;Directeur juridique;Camille;Martin;PA87056;LENOVO;08/01/1988;169521011;757881221;Non
Mme;Hélène;Cault;BillU;Paris;Departement Juridique;Propriété intellectuelle;Juriste;Fauve;Hôlth;PA26363;LENOVO;30/06/1985;155916179;-;Non
Mme;Irène;Idr-Bongo;Livingston & Departement;Paris;Département Juridique;Droit des sociétés;Avocat;Fauve;Hôlth;-;-;-;142995102;-;-
M.;Jérémie;Allert;Livingston & Associés;Paris;Departement Juridique;Droit des sociétés;Juriste;Fauve;Hôlth;-;-;-;123954236;-;-
Mme;Nadia;Culcùu;Livingston & Associés;Paris;Departement Juridique;Droit des sociétés;Juriste;Fauve;Hôlth;-;-;-;168235541;-;-
M.;Remi;Advezekt;BillU;Paris;Departement Juridique;Protection des données et conformité;Juriste;Fauve;Hôlth;PA12540;LENOVO;28/05/1997;488168544;-;Non
M.;Robin;Bourgeois;BillU;Paris;Departement Juridique;Protection des données et conformité;Juriste;Fauve;Hôlth;PA33490;HP;17/07/1997;130797419;-;Non
M.;Serge;Kalfandier;Livingston & Associés;Paris;Departement Juridique;Droit des sociétés;Avocat;Fauve;Hôlth;-;-;-;187569924;-;-
M.;Yann;Boyer;BillU;Paris;Departement Juridique;Protection des données et conformité;Juriste;Fauve;Hôlth;PA48690;LENOVO;30/03/1992;198705216;-;Non
M.;Aarav;Gupta;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA24630;HP;30/06/1994;-;-;Non
